Title,Link,Views,Replies,Date,Labels
I think I might want to go soon and I'm terrified,https://sanctioned-suicide.net/threads/i-think-i-might-want-to-go-soon-and-im-terrified.176694/,597,6,"Aug 26, 2024",['Venting']
Anyone who's been here awhile actively planning?,https://sanctioned-suicide.net/threads/anyone-whos-been-here-awhile-actively-planning.174005/,452,21,"Aug 1, 2024",['none']
Thinking about train decapitation again but am facing some issues,https://sanctioned-suicide.net/threads/thinking-about-train-decapitation-again-but-am-facing-some-issues.178808/,231,3,"Sep 14, 2024",['none']
"Spiraling, projecting, hurting",https://sanctioned-suicide.net/threads/spiraling-projecting-hurting.178946/,111,2,"Sep 15, 2024",['Venting']
UK Assisted Dying Bill - Good news update,https://sanctioned-suicide.net/threads/uk-assisted-dying-bill-good-news-update.178924/,222,7,"Sep 15, 2024",['none']
Best way to send delayed emails?,https://sanctioned-suicide.net/threads/best-way-to-send-delayed-emails.949/,1K,5,"Jun 24, 2018",['Help']
insufficiency of distractions,https://sanctioned-suicide.net/threads/insufficiency-of-distractions.178962/,76,1,"Sep 15, 2024",['none']
im sorry for being here,https://sanctioned-suicide.net/threads/im-sorry-for-being-here.178960/,109,2,"Sep 15, 2024",['Venting']
Friend caught the bus friday,https://sanctioned-suicide.net/threads/friend-caught-the-bus-friday.178914/,355,6,"Sep 15, 2024",['none']
Storing SN,https://sanctioned-suicide.net/threads/storing-sn.178959/,87,1,"Sep 15, 2024",['Help']
I just don't know how to be normal,https://sanctioned-suicide.net/threads/i-just-dont-know-how-to-be-normal.178947/,114,2,"Sep 15, 2024",['Venting']
Vent thread,https://sanctioned-suicide.net/threads/vent-thread.178958/,58,0,"Sep 15, 2024",['none']
PMDD and suicide ideation and depression,https://sanctioned-suicide.net/threads/pmdd-and-suicide-ideation-and-depression.178916/,170,9,"Sep 15, 2024",['none']
😢😢😢😢😢😢😢😢😢,https://sanctioned-suicide.net/threads/178957/,73,0,"Sep 15, 2024",['Venting']
i hate being human,https://sanctioned-suicide.net/threads/i-hate-being-human.178956/,66,0,"Sep 15, 2024",['Venting']
Animals and why humans are worse,https://sanctioned-suicide.net/threads/animals-and-why-humans-are-worse.178954/,96,1,"Sep 15, 2024",['Venting']
LOOK UP THE ONSET OF YOUR BENZO (Re: SN),https://sanctioned-suicide.net/threads/look-up-the-onset-of-your-benzo-re-sn.177318/,535,16,"Sep 1, 2024",['Resource']
Need ctb,https://sanctioned-suicide.net/threads/need-ctb.178943/,123,2,"Sep 15, 2024",['Venting']
Slow acting methods and saving face,https://sanctioned-suicide.net/threads/slow-acting-methods-and-saving-face.174988/,1K,25,"Aug 11, 2024",['Method']
Melatonin and SN,https://sanctioned-suicide.net/threads/melatonin-and-sn.178950/,77,0,"Sep 15, 2024",['none']
Want to get things off my chest,https://sanctioned-suicide.net/threads/want-to-get-things-off-my-chest.178948/,100,1,"Sep 15, 2024",['Venting']
How to use socks for padding during hanging?,https://sanctioned-suicide.net/threads/how-to-use-socks-for-padding-during-hanging.178918/,179,3,"Sep 15, 2024",['Help']
Guide on how to lose consciousness when hanging yourself (aka most common hanging mistakes),https://sanctioned-suicide.net/threads/guide-on-how-to-lose-consciousness-when-hanging-yourself-aka-most-common-hanging-mistakes.174897/,7K,66,"Aug 10, 2024",['Resource']
I removed part of the cap from N. Will it still work?,https://sanctioned-suicide.net/threads/i-removed-part-of-the-cap-from-n-will-it-still-work.178944/,105,2,"Sep 15, 2024",['none']
Found a website for pure SN crystals with shipping to UK,https://sanctioned-suicide.net/threads/found-a-website-for-pure-sn-crystals-with-shipping-to-uk.178937/,169,2,"Sep 15, 2024",['Help']
Why do you SI(Self-Injure)?,https://sanctioned-suicide.net/threads/why-do-you-si-self-injure.178913/,211,21,"Sep 15, 2024",['Discussion']
Worried about SI with SN,https://sanctioned-suicide.net/threads/worried-about-si-with-sn.176548/,424,18,"Aug 25, 2024",['none']
"whenever I see some kind of tragedy happen and hear about the victims, this comes to my head",https://sanctioned-suicide.net/threads/whenever-i-see-some-kind-of-tragedy-happen-and-hear-about-the-victims-this-comes-to-my-head.178934/,154,7,"Sep 15, 2024",['none']
Suppliers for Phentoarbital (or Sodium Pentoarbital)?,https://sanctioned-suicide.net/threads/suppliers-for-phentoarbital-or-sodium-pentoarbital.172272/,712,16,"Jul 16, 2024",['none']
I feel sorry for my parents...,https://sanctioned-suicide.net/threads/i-feel-sorry-for-my-parents.160827/,592,19,"Apr 17, 2024",['Venting']
Im so angry,https://sanctioned-suicide.net/threads/im-so-angry.177549/,176,3,"Sep 3, 2024",['Venting']
Can somebody PM me and help me find the DMC SN source? I'm having a lot of trouble finding it,https://sanctioned-suicide.net/threads/can-somebody-pm-me-and-help-me-find-the-dmc-sn-source-im-having-a-lot-of-trouble-finding-it.178933/,57,0,"Sep 15, 2024",['none']
Being a NEET is suffering. Being a wage-slave is also suffering. The only way out is...,https://sanctioned-suicide.net/threads/being-a-neet-is-suffering-being-a-wage-slave-is-also-suffering-the-only-way-out-is.178900/,170,3,"Sep 15, 2024",['none']
Smoking DMT just after taking SN,https://sanctioned-suicide.net/threads/smoking-dmt-just-after-taking-sn.178919/,124,3,"Sep 15, 2024",['Discussion']
a walking embarrassment,https://sanctioned-suicide.net/threads/a-walking-embarrassment.178906/,192,7,"Sep 15, 2024",['Venting']
How to livestream?,https://sanctioned-suicide.net/threads/how-to-livestream.178929/,72,0,"Sep 15, 2024",['none']
Evelyn's complete guide on how to hang yourself with both partial and full suspension hanging,https://sanctioned-suicide.net/threads/evelyns-complete-guide-on-how-to-hang-yourself-with-both-partial-and-full-suspension-hanging.175612/,6K,46,"Aug 16, 2024",['Resource']
Going back to SH,https://sanctioned-suicide.net/threads/going-back-to-sh.178928/,68,0,"Sep 15, 2024",['Venting']
CantdoIt's Thread for general venting,https://sanctioned-suicide.net/threads/cantdoits-thread-for-general-venting.176182/,249,7,"Aug 21, 2024",['none']
HELP-HELP!!!,https://sanctioned-suicide.net/threads/help-help.178927/,99,0,"Sep 15, 2024",['none']
HELP HELP!!,https://sanctioned-suicide.net/threads/help-help.178860/,264,4,"Sep 14, 2024",['none']
Sn plan without benzos,https://sanctioned-suicide.net/threads/sn-plan-without-benzos.178904/,143,3,"Sep 15, 2024",['none']
