Title,Link,Views,Replies,Date,Labels
Meds? (poll),https://sanctioned-suicide.net/threads/meds-poll.172895/,220,9,"Jul 22, 2024 at 7:22 AM",['none']
Planning to order SN in India,https://sanctioned-suicide.net/threads/planning-to-order-sn-in-india.166801/,613,22,"May 30, 2024",['none']
They have taken away everyone's ability to escape extreme pain,https://sanctioned-suicide.net/threads/they-have-taken-away-everyones-ability-to-escape-extreme-pain.172889/,311,10,"Jul 22, 2024 at 4:22 AM",['Venting']
Your suicide note in one sentence only?,https://sanctioned-suicide.net/threads/your-suicide-note-in-one-sentence-only.41731/,46K,922,"Jun 26, 2020",['Discussion']
Feeling so defeated as a sub5 male.,https://sanctioned-suicide.net/threads/feeling-so-defeated-as-a-sub5-male.172967/,29,2,35 minutes ago,['none']
Need ctb,https://sanctioned-suicide.net/threads/need-ctb.172968/,21,2,24 minutes ago,['Venting']
gave my therapist my notice,https://sanctioned-suicide.net/threads/gave-my-therapist-my-notice.172963/,62,9,53 minutes ago,['Venting']
I’m not sure,https://sanctioned-suicide.net/threads/im-not-sure.172957/,29,3,"Jul 22, 2024 at 10:18 PM",['Venting']
"People who believe in life after death, what do you think will happen after you commit suicide?",https://sanctioned-suicide.net/threads/people-who-believe-in-life-after-death-what-do-you-think-will-happen-after-you-commit-suicide.172950/,97,7,"Jul 22, 2024 at 9:01 PM",['none']
Gun as a birthday present?,https://sanctioned-suicide.net/threads/gun-as-a-birthday-present.172784/,247,11,"Jul 21, 2024 at 5:30 AM",['Help']
"New method with potassium chloride, accessible to all of us, details here",https://sanctioned-suicide.net/threads/new-method-with-potassium-chloride-accessible-to-all-of-us-details-here.172951/,197,21,"Jul 22, 2024 at 9:12 PM",['Method']
Weighing my options and need your opinion/advice,https://sanctioned-suicide.net/threads/weighing-my-options-and-need-your-opinion-advice.172964/,18,2,41 minutes ago,['Help']
Does anyone feel like dead is what you're supposed to be?,https://sanctioned-suicide.net/threads/does-anyone-feel-like-dead-is-what-youre-supposed-to-be.170940/,329,9,"Jul 4, 2024",['Story']
i really don't wanna die but im not getting better at all...,https://sanctioned-suicide.net/threads/i-really-dont-wanna-die-but-im-not-getting-better-at-all.172901/,193,7,"Jul 22, 2024 at 9:06 AM",['Venting']
I don’t know what to feel,https://sanctioned-suicide.net/threads/i-dont-know-what-to-feel.172961/,26,1,"Jul 22, 2024 at 10:47 PM",['Venting']
What Is Your Mask?,https://sanctioned-suicide.net/threads/what-is-your-mask.172966/,15,0,37 minutes ago,['Discussion']
How much Midol is leathal?,https://sanctioned-suicide.net/threads/how-much-midol-is-leathal.172965/,15,0,40 minutes ago,['none']
I was literally told by my own mother...,https://sanctioned-suicide.net/threads/i-was-literally-told-by-my-own-mother.172962/,33,2,"Jul 22, 2024 at 10:50 PM",['none']
What is Your #1 Reason for Not Wanting to Live?,https://sanctioned-suicide.net/threads/what-is-your-1-reason-for-not-wanting-to-live.171623/,3K,126,"Jul 10, 2024",['Discussion']
How did you find this forum and do you regret joining?,https://sanctioned-suicide.net/threads/how-did-you-find-this-forum-and-do-you-regret-joining.172715/,1K,76,Saturday at 3:58 PM,['Discussion']
Seriously considering/Help,https://sanctioned-suicide.net/threads/seriously-considering-help.171925/,207,8,"Jul 13, 2024",['Discussion']
goodbye thread,https://sanctioned-suicide.net/threads/goodbye-thread.172955/,90,6,"Jul 22, 2024 at 9:59 PM",['none']
"CTB in Chain hotel room: since hotel can only receive payment after checkout time, who will pay the accomodation expense when im found dead?",https://sanctioned-suicide.net/threads/ctb-in-chain-hotel-room-since-hotel-can-only-receive-payment-after-checkout-time-who-will-pay-the-accomodation-expense-when-im-found-dead.159363/,393,10,"Apr 7, 2024",['Help']
General thread for my vents about wanting to die,https://sanctioned-suicide.net/threads/general-thread-for-my-vents-about-wanting-to-die.172577/,3K,63,Friday at 8:08 AM,['Venting']
Loss of hobbies,https://sanctioned-suicide.net/threads/loss-of-hobbies.172945/,137,9,"Jul 22, 2024 at 7:24 PM",['none']
I’m ashamed of who I am,https://sanctioned-suicide.net/threads/im-ashamed-of-who-i-am.172106/,119,2,"Jul 14, 2024",['Venting']
They are gonna kill me,https://sanctioned-suicide.net/threads/they-are-gonna-kill-me.172952/,95,5,"Jul 22, 2024 at 9:14 PM",['Venting']
My doctor gave me benzos. Now what?,https://sanctioned-suicide.net/threads/my-doctor-gave-me-benzos-now-what.172750/,291,6,Saturday at 11:21 PM,['none']
does anyone else want to enjoy life but just can’t?,https://sanctioned-suicide.net/threads/does-anyone-else-want-to-enjoy-life-but-just-cant.171119/,454,17,"Jul 6, 2024",['none']
Deceiving everyone to be left alone for cbting,https://sanctioned-suicide.net/threads/deceiving-everyone-to-be-left-alone-for-cbting.172942/,143,10,"Jul 22, 2024 at 6:56 PM",['Help']
"Goodbye SN in 1 hour, please dont let me go alone",https://sanctioned-suicide.net/threads/goodbye-sn-in-1-hour-please-dont-let-me-go-alone.165095/,5K,80,"May 16, 2024",['Discussion']
"I'm not suicidal, I just don't want to live",https://sanctioned-suicide.net/threads/im-not-suicidal-i-just-dont-want-to-live.172949/,50,3,"Jul 22, 2024 at 9:01 PM",['Venting']
Suicide... parent and their adult child.,https://sanctioned-suicide.net/threads/suicide-parent-and-their-adult-child.172948/,92,3,"Jul 22, 2024 at 8:44 PM",['none']
Opioid Megathread & Overview,https://sanctioned-suicide.net/threads/opioid-megathread-overview.138948/,16K,62,"Oct 30, 2023",['none']
is ctb in a hotel selfish?,https://sanctioned-suicide.net/threads/is-ctb-in-a-hotel-selfish.172693/,801,34,Saturday at 11:38 AM,['none']
Did what made all of us the way we are really stem from an early incident?,https://sanctioned-suicide.net/threads/did-what-made-all-of-us-the-way-we-are-really-stem-from-an-early-incident.172944/,93,9,"Jul 22, 2024 at 7:13 PM",['Discussion']
And so we have reached the end,https://sanctioned-suicide.net/threads/and-so-we-have-reached-the-end.164851/,7K,106,"May 14, 2024",['none']
How can I combat survival instinct? to CTB,https://sanctioned-suicide.net/threads/how-can-i-combat-survival-instinct-to-ctb.172888/,129,3,"Jul 22, 2024 at 4:04 AM",['Help']
SN Sources?,https://sanctioned-suicide.net/threads/sn-sources.171627/,309,6,"Jul 10, 2024",['none']
Carbon monoxide megathread,https://sanctioned-suicide.net/threads/carbon-monoxide-megathread.2053/,406K,2K,"Jul 29, 2018",['Method']
what helps numb your feelings,https://sanctioned-suicide.net/threads/what-helps-numb-your-feelings.172891/,291,18,"Jul 22, 2024 at 5:23 AM",['none']
"Charcoal method, advice?",https://sanctioned-suicide.net/threads/charcoal-method-advice.172923/,158,6,"Jul 22, 2024 at 2:30 PM",['Method']
It makes no sense objectively that I continue living,https://sanctioned-suicide.net/threads/it-makes-no-sense-objectively-that-i-continue-living.172939/,89,3,"Jul 22, 2024 at 6:13 PM",['Venting']
How do normies have so much effort and energy to do things?,https://sanctioned-suicide.net/threads/how-do-normies-have-so-much-effort-and-energy-to-do-things.171476/,547,17,"Jul 9, 2024",['Venting']
"Yeah it looks like gun method is the ""best"" for not wanting to feel pain",https://sanctioned-suicide.net/threads/yeah-it-looks-like-gun-method-is-the-best-for-not-wanting-to-feel-pain.172653/,230,7,Saturday at 1:45 AM,['Method']
SN from BO finally arrived,https://sanctioned-suicide.net/threads/sn-from-bo-finally-arrived.172662/,530,18,Saturday at 3:44 AM,['none']
Antidepressants are making me more suicidal!,https://sanctioned-suicide.net/threads/antidepressants-are-making-me-more-suicidal.172940/,78,6,"Jul 22, 2024 at 6:18 PM",['none']
How to get comfortable after taking SN.,https://sanctioned-suicide.net/threads/how-to-get-comfortable-after-taking-sn.172938/,96,2,"Jul 22, 2024 at 6:05 PM",['none']
What I have learned from my failed carbon monoxide attempt,https://sanctioned-suicide.net/threads/what-i-have-learned-from-my-failed-carbon-monoxide-attempt.172943/,8,0,"Jul 22, 2024 at 7:02 PM",['Story']
Road to CTB,https://sanctioned-suicide.net/threads/road-to-ctb.172706/,1K,49,Saturday at 2:43 PM,['Venting']
,https://sanctioned-suicide.net/threads/how-do-we-even-remotely-expect-people-to-escape-the-cycle-when-we-shun-those-who-try.172933/,,,,['']
,https://sanctioned-suicide.net/threads/at-night-i-fantasize-about-inhaling-argon-helium-or-nitrogen.172941/,,,,['']
,https://sanctioned-suicide.net/threads/if-a-legit-sn-source-asked-you-what-youre-using-it-for-what-would-you-say.172935/,,,,['']
,https://sanctioned-suicide.net/threads/why.172934/,,,,['none']
,https://sanctioned-suicide.net/threads/i-dont-want-to-make-other-people-worry.172937/,,,"Jul 22, 2024 at 5:48 PM",['Venting']
,https://sanctioned-suicide.net/threads/suicidal.172930/,,5,"Jul 22, 2024 at 4:10 PM",['none']
,https://sanctioned-suicide.net/threads/hotlines-are-good-but-not-perfect.140657/,294,5,"Nov 10, 2023",['Story']
How to face those who love you,https://sanctioned-suicide.net/threads/how-to-face-those-who-love-you.172370/,141,1,Wednesday at 11:43 AM,['Help']
Trees to use for hanging - from a tree expert,https://sanctioned-suicide.net/threads/trees-to-use-for-hanging-from-a-tree-expert.76256/,6K,31,"Oct 29, 2021",['Resource']
I'll be CTBing today. This is my SN Regimen.,https://sanctioned-suicide.net/threads/ill-be-ctbing-today-this-is-my-sn-regimen.172804/,1K,32,"Jul 21, 2024 at 9:16 AM",['none']
Suicide: the only true way out,https://sanctioned-suicide.net/threads/suicide-the-only-true-way-out.171305/,615,16,"Jul 8, 2024",['Venting']
"I can't even self harm, how am i supposed to beat SI?",https://sanctioned-suicide.net/threads/i-cant-even-self-harm-how-am-i-supposed-to-beat-si.172766/,345,13,"Jul 21, 2024 at 1:50 AM",['none']
Working Up the Nerve,https://sanctioned-suicide.net/threads/working-up-the-nerve.172932/,54,1,"Jul 22, 2024 at 4:57 PM",['Discussion']
sick and tired of my sister taking away my razor blades.,https://sanctioned-suicide.net/threads/sick-and-tired-of-my-sister-taking-away-my-razor-blades.172931/,99,4,"Jul 22, 2024 at 4:40 PM",['Venting']
