Title,Link,Views,Replies,Date,Labels
Unsure how to secure SN without my family finding out.,https://sanctioned-suicide.net/threads/unsure-how-to-secure-sn-without-my-family-finding-out.170598/,369,5,"Jul 1, 2024",['Help']
Do you sometimes feel like you'll be seen as a loser if you ctb?,https://sanctioned-suicide.net/threads/do-you-sometimes-feel-like-youll-be-seen-as-a-loser-if-you-ctb.169202/,811,36,"Jun 19, 2024",['Discussion']
Maybe if I just wasn’t so lonely,https://sanctioned-suicide.net/threads/maybe-if-i-just-wasnt-so-lonely.171829/,66,0,"Jul 12, 2024",['Venting']
What other methods?,https://sanctioned-suicide.net/threads/what-other-methods.171810/,229,11,"Jul 12, 2024",['none']
[Article] Why money alone doesn’t solve everything and why CTB would be a solution,https://sanctioned-suicide.net/threads/article-why-money-alone-doesnt-solve-everything-and-why-ctb-would-be-a-solution.170541/,249,3,"Jul 1, 2024",['none']
Obtaining SN in Australia,https://sanctioned-suicide.net/threads/obtaining-sn-in-australia.171803/,111,3,"Jul 12, 2024",['Method']
Knowing you have the means to ctb but you haven’t done it yet,https://sanctioned-suicide.net/threads/knowing-you-have-the-means-to-ctb-but-you-havent-done-it-yet.171791/,175,2,"Jul 12, 2024",['Venting']
"Looking for anyone from Maine, New Hampshire, or Vermont",https://sanctioned-suicide.net/threads/looking-for-anyone-from-maine-new-hampshire-or-vermont.171824/,65,0,"Jul 12, 2024",['Help']
I'm extremely ugly and I can't take this life anymore.,https://sanctioned-suicide.net/threads/im-extremely-ugly-and-i-cant-take-this-life-anymore.171797/,351,8,"Jul 12, 2024",['none']
disgusting,https://sanctioned-suicide.net/threads/disgusting.171806/,122,1,"Jul 12, 2024",['Venting']
tums chewable berry flavor vitiman C?,https://sanctioned-suicide.net/threads/tums-chewable-berry-flavor-vitiman-c.171819/,56,0,"Jul 12, 2024",['none']
OD on Sertraline?,https://sanctioned-suicide.net/threads/od-on-sertraline.170298/,383,9,"Jun 29, 2024",['Method']
how to commit charcoal suicide with tent?,https://sanctioned-suicide.net/threads/how-to-commit-charcoal-suicide-with-tent.171784/,238,6,"Jul 12, 2024",['none']
AE in Middle East,https://sanctioned-suicide.net/threads/ae-in-middle-east.171343/,143,2,"Jul 8, 2024",['none']
permanently tired,https://sanctioned-suicide.net/threads/permanently-tired.171807/,93,1,"Jul 12, 2024",['none']
Counting down to my CTB time,https://sanctioned-suicide.net/threads/counting-down-to-my-ctb-time.171813/,80,2,"Jul 12, 2024",['none']
Methods are tough to find.,https://sanctioned-suicide.net/threads/methods-are-tough-to-find.171764/,203,5,"Jul 11, 2024",['none']
I'm planning to CTB by the end of this month but I don't know if my method will work.,https://sanctioned-suicide.net/threads/im-planning-to-ctb-by-the-end-of-this-month-but-i-dont-know-if-my-method-will-work.171718/,174,2,"Jul 11, 2024",['Method']
How harrowing is death by SN poisoning compared to other methods?,https://sanctioned-suicide.net/threads/how-harrowing-is-death-by-sn-poisoning-compared-to-other-methods.171443/,943,33,"Jul 9, 2024",['Help']
What is your pain vs lethal vs risk ratio,https://sanctioned-suicide.net/threads/what-is-your-pain-vs-lethal-vs-risk-ratio.171809/,81,1,"Jul 12, 2024",['none']
i wrote a song using CTB as a metaphor,https://sanctioned-suicide.net/threads/i-wrote-a-song-using-ctb-as-a-metaphor.171601/,135,5,"Jul 10, 2024",['none']
How long does it take for DMC to reply on WhatsApp? Kinda impatient,https://sanctioned-suicide.net/threads/how-long-does-it-take-for-dmc-to-reply-on-whatsapp-kinda-impatient.171802/,99,0,"Jul 12, 2024",['Method']
So Confused About My Feelings.,https://sanctioned-suicide.net/threads/so-confused-about-my-feelings.171801/,91,0,"Jul 12, 2024",['Venting']
Would this be an effective CO method?,https://sanctioned-suicide.net/threads/would-this-be-an-effective-co-method.171769/,106,2,"Jul 11, 2024",['none']
I need help ctb,https://sanctioned-suicide.net/threads/i-need-help-ctb.171794/,139,2,"Jul 12, 2024",['none']
I broke down at my third failure,https://sanctioned-suicide.net/threads/i-broke-down-at-my-third-failure.170414/,379,1,"Jun 30, 2024",['Method']
I wish I didn’t have to die but I have to do it,https://sanctioned-suicide.net/threads/i-wish-i-didnt-have-to-die-but-i-have-to-do-it.169698/,457,11,"Jun 24, 2024",['Venting']
My Younger brother,https://sanctioned-suicide.net/threads/my-younger-brother.171656/,509,13,"Jul 10, 2024",['none']
Hello and goodbye // silly CTB letter thing,https://sanctioned-suicide.net/threads/hello-and-goodbye-silly-ctb-letter-thing.171785/,176,3,"Jul 12, 2024",['Venting']
Why would someone want a painful suicide when it can be painless?,https://sanctioned-suicide.net/threads/why-would-someone-want-a-painful-suicide-when-it-can-be-painless.171767/,316,10,"Jul 11, 2024",['none']
Bought the SN,https://sanctioned-suicide.net/threads/bought-the-sn.171790/,94,0,"Jul 12, 2024",['Method']
"Tonight, I Die. Thank you to everyone.",https://sanctioned-suicide.net/threads/tonight-i-die-thank-you-to-everyone.171729/,774,27,"Jul 11, 2024",['none']
Injecting alcohol into your veins,https://sanctioned-suicide.net/threads/injecting-alcohol-into-your-veins.171771/,149,1,"Jul 11, 2024",['Method']
Oxycodon?,https://sanctioned-suicide.net/threads/oxycodon.171786/,36,0,"Jul 12, 2024",['none']
I should have done it,https://sanctioned-suicide.net/threads/i-should-have-done-it.171723/,123,2,"Jul 11, 2024",['none']
SN Experience and Medical Records,https://sanctioned-suicide.net/threads/sn-experience-and-medical-records.169984/,4K,107,"Jun 26, 2024",['Resource']
I want to go back in time,https://sanctioned-suicide.net/threads/i-want-to-go-back-in-time.171727/,176,2,"Jul 11, 2024",['none']
Why do my friends and lover make me cry myself to sleep every night?,https://sanctioned-suicide.net/threads/why-do-my-friends-and-lover-make-me-cry-myself-to-sleep-every-night.171072/,201,2,"Jul 5, 2024",['Venting']
“Please wait while we connect you to a counselor. It may take awhile.”,https://sanctioned-suicide.net/threads/please-wait-while-we-connect-you-to-a-counselor-it-may-take-awhile.171672/,336,10,"Jul 11, 2024",['none']
I sometimes feel ungrateful,https://sanctioned-suicide.net/threads/i-sometimes-feel-ungrateful.169265/,127,3,"Jun 19, 2024",['none']
Propane exit bag?,https://sanctioned-suicide.net/threads/propane-exit-bag.157911/,1K,13,"Mar 28, 2024",['Method']
Next Week is my CTB Time,https://sanctioned-suicide.net/threads/next-week-is-my-ctb-time.170117/,777,17,"Jun 27, 2024",['Discussion']
Damned if you do damned if you don’t,https://sanctioned-suicide.net/threads/damned-if-you-do-damned-if-you-dont.171780/,81,0,"Jul 12, 2024",['Venting']
"Get ""better"" to Ctb?",https://sanctioned-suicide.net/threads/get-better-to-ctb.171651/,423,15,"Jul 10, 2024",['none']
"What's a ""controversial"" belief you have? [Let's Discuss]",https://sanctioned-suicide.net/threads/whats-a-controversial-belief-you-have-lets-discuss.171288/,2K,73,"Jul 7, 2024",['Discussion']
Tylenol OD?,https://sanctioned-suicide.net/threads/tylenol-od.171674/,273,7,"Jul 11, 2024",['Help']
Jumping How high?,https://sanctioned-suicide.net/threads/jumping-how-high.171705/,237,7,"Jul 11, 2024",['none']
Simulation Theory Terrifies Me!,https://sanctioned-suicide.net/threads/simulation-theory-terrifies-me.171760/,131,3,"Jul 11, 2024",['none']
My best friend's bf,https://sanctioned-suicide.net/threads/my-best-friends-bf.171448/,243,4,"Jul 9, 2024",['none']
Jumping into water or onto land?,https://sanctioned-suicide.net/threads/jumping-into-water-or-onto-land.171775/,82,0,"Jul 11, 2024",['Method']
,https://sanctioned-suicide.net/threads/being-forced-to-defer-university-has-put-me-on-the-path-of-sucide-and-self-destruction.170923/,,,,['none']
,https://sanctioned-suicide.net/threads/people-who-ctb-are-cowards.171658/,,,,['']
,https://sanctioned-suicide.net/threads/doxylamine.128614/,,,,['']
,https://sanctioned-suicide.net/threads/loperamide.154608/,,,,['']
,https://sanctioned-suicide.net/threads/do-a-flip.171772/,,,,['none']
,https://sanctioned-suicide.net/threads/christina.171770/,,,,['']
,https://sanctioned-suicide.net/threads/youre-not-suicidal.171698/,,,,['none']
,https://sanctioned-suicide.net/threads/just-managed-to-succesfully-compress-my-carotid-arteries.170421/,,,,['none']
,https://sanctioned-suicide.net/threads/nsfw-heres-my-manual-on-how-to-shoot-yourself-in-the-head.50269/,,,,['']
,https://sanctioned-suicide.net/threads/jealousy-and-envy.170695/,,,,['']
,https://sanctioned-suicide.net/threads/cartorid-artery-location-help.171761/,,,,['none']
,https://sanctioned-suicide.net/threads/am-i-not-the-only-one-who-wants-ctb-in-a-brutal-way-to-punish-the-people-who-destroyed-my-life.114328/,,,,['none']
,https://sanctioned-suicide.net/threads/fear-is-of-the-prolife-suicidal-is-fearless.171734/,,,,['none']
,https://sanctioned-suicide.net/threads/i-want-to-ruin-the-lives-of-the-people-who-hurt-me-18f.171743/,,,,['none']
,https://sanctioned-suicide.net/threads/how-to-get-sn-in-canada.171725/,,,,['']
,https://sanctioned-suicide.net/threads/complex.171757/,,,,['']
,https://sanctioned-suicide.net/threads/a-plan-journey.171071/,,,,['']
,https://sanctioned-suicide.net/threads/does-anyone-ever-really-fully-stop-being-suicidal-18f.171722/,,,,['none']
,https://sanctioned-suicide.net/threads/back-again.171510/,,,,['none']
,https://sanctioned-suicide.net/threads/thinking-of-ctb-via-starvation-any-advice-wisdom.170950/,,,,['']
,https://sanctioned-suicide.net/threads/cherry-pit-cyanide-info.171506/,,1,"Jul 9, 2024",['none']
my dad is suicidal,https://sanctioned-suicide.net/threads/my-dad-is-suicidal.171755/,130,0,"Jul 11, 2024",['Venting']
Livestream Nitrogen Exit Bag death?,https://sanctioned-suicide.net/threads/livestream-nitrogen-exit-bag-death.171730/,215,4,"Jul 11, 2024",['Discussion']
Reputable online pharmacy UK zopiclone,https://sanctioned-suicide.net/threads/reputable-online-pharmacy-uk-zopiclone.171748/,64,0,"Jul 11, 2024",['Help']
Anyone else here exists merely online?,https://sanctioned-suicide.net/threads/anyone-else-here-exists-merely-online.169508/,590,26,"Jun 21, 2024",['none']
Methods of CTB that are easily accessible,https://sanctioned-suicide.net/threads/methods-of-ctb-that-are-easily-accessible.171158/,400,5,"Jul 6, 2024",['none']
