Title,Link,Views,Replies,Date,Labels
Trauma of finding body,https://sanctioned-suicide.net/threads/trauma-of-finding-body.177915/,85,0,Friday at 4:50 PM,['none']
Great song that I want to die to,https://sanctioned-suicide.net/threads/great-song-that-i-want-to-die-to.177914/,61,0,Friday at 4:50 PM,['none']
Any good sleeping pill methods that i can pair with easy too get medicine?,https://sanctioned-suicide.net/threads/any-good-sleeping-pill-methods-that-i-can-pair-with-easy-too-get-medicine.177913/,78,2,Friday at 4:39 PM,['none']
Wanting to CBT soon,https://sanctioned-suicide.net/threads/wanting-to-cbt-soon.177905/,112,2,Friday at 3:39 PM,['none']
SN Method Help And Questions (UK),https://sanctioned-suicide.net/threads/sn-method-help-and-questions-uk.153661/,2K,22,"Feb 26, 2024",['none']
Pain,https://sanctioned-suicide.net/threads/pain.177901/,66,1,Friday at 3:19 PM,['none']
This website is merely a continuation of history,https://sanctioned-suicide.net/threads/this-website-is-merely-a-continuation-of-history.177907/,151,1,Friday at 4:08 PM,['none']
"In a hopeless situation, so thankful to get out",https://sanctioned-suicide.net/threads/in-a-hopeless-situation-so-thankful-to-get-out.177753/,173,2,Thursday at 2:55 AM,['none']
How do you know when its time to ctb?,https://sanctioned-suicide.net/threads/how-do-you-know-when-its-time-to-ctb.177858/,249,8,Friday at 2:55 AM,['none']
Darknet N?,https://sanctioned-suicide.net/threads/darknet-n.177781/,298,8,Thursday at 10:44 AM,['none']
Can someone explain what the person is saying in this hanging guide,https://sanctioned-suicide.net/threads/can-someone-explain-what-the-person-is-saying-in-this-hanging-guide.174484/,879,8,"Aug 6, 2024",['none']
What are the reasons you haven't CTB,https://sanctioned-suicide.net/threads/what-are-the-reasons-you-havent-ctb.177466/,1K,76,"Sep 2, 2024",['Discussion']
I want to go on a walk and never comes back,https://sanctioned-suicide.net/threads/i-want-to-go-on-a-walk-and-never-comes-back.177895/,89,2,Friday at 2:10 PM,['none']
Giving up without trying,https://sanctioned-suicide.net/threads/giving-up-without-trying.177888/,124,5,Friday at 1:24 PM,['none']
Just bad luck (?),https://sanctioned-suicide.net/threads/just-bad-luck.177879/,94,2,Friday at 9:34 AM,['none']
i feel like this is a sign?,https://sanctioned-suicide.net/threads/i-feel-like-this-is-a-sign.177768/,172,4,Thursday at 7:03 AM,['none']
plastic bag or strangulation,https://sanctioned-suicide.net/threads/plastic-bag-or-strangulation.177882/,120,4,Friday at 12:44 PM,['none']
school & a bit of parents,https://sanctioned-suicide.net/threads/school-a-bit-of-parents.177897/,69,1,Friday at 2:25 PM,['Venting']
Diazepam 30x10,https://sanctioned-suicide.net/threads/diazepam-30x10.177896/,123,1,Friday at 2:19 PM,['Help']
Goodbye,https://sanctioned-suicide.net/threads/goodbye.167006/,847,12,"May 31, 2024",['Venting']
Best (non benzo) sedatives to use with SN?,https://sanctioned-suicide.net/threads/best-non-benzo-sedatives-to-use-with-sn.177821/,175,4,Thursday at 3:59 PM,['none']
Can ypu relate?,https://sanctioned-suicide.net/threads/can-ypu-relate.177568/,257,11,"Sep 3, 2024",['none']
A short update about my situation,https://sanctioned-suicide.net/threads/a-short-update-about-my-situation.177892/,90,0,Friday at 1:44 PM,['Story']
getting serious about ctb,https://sanctioned-suicide.net/threads/getting-serious-about-ctb.177872/,158,5,Friday at 7:43 AM,['none']
"Online or offline, I'm always alone. Seems like it.",https://sanctioned-suicide.net/threads/online-or-offline-im-always-alone-seems-like-it.176737/,240,6,"Aug 27, 2024",['Venting']
When you hate life so much you don’t even want to try,https://sanctioned-suicide.net/threads/when-you-hate-life-so-much-you-dont-even-want-to-try.176937/,193,5,"Aug 29, 2024",['Venting']
Which regulator for inert gas?,https://sanctioned-suicide.net/threads/which-regulator-for-inert-gas.177023/,93,2,"Aug 29, 2024",['none']
VAD Pegasos date changed to 16th Sept,https://sanctioned-suicide.net/threads/vad-pegasos-date-changed-to-16th-sept.176079/,467,13,"Aug 20, 2024",['Discussion']
I used to be happy,https://sanctioned-suicide.net/threads/i-used-to-be-happy.177856/,136,5,Friday at 1:45 AM,['Venting']
Belief in Soul,https://sanctioned-suicide.net/threads/belief-in-soul.177867/,159,12,Friday at 6:51 AM,['none']
Ethics of ununusal Self-destructive behavior.,https://sanctioned-suicide.net/threads/ethics-of-ununusal-self-destructive-behavior.177885/,85,0,Friday at 1:08 PM,['Venting']
Prozac Overdose,https://sanctioned-suicide.net/threads/prozac-overdose.177878/,122,3,Friday at 9:26 AM,['Help']
"I have 30 melting tabs of an antiemetic called ""ondansetron 8 mg"" (highest dose per tab)",https://sanctioned-suicide.net/threads/i-have-30-melting-tabs-of-an-antiemetic-called-ondansetron-8-mg-highest-dose-per-tab.177884/,32,0,Friday at 1:04 PM,['Help']
Is the DMC website not available for people in the USA?,https://sanctioned-suicide.net/threads/is-the-dmc-website-not-available-for-people-in-the-usa.177797/,280,6,Thursday at 1:18 PM,['none']
Californians Sept. ‘24,https://sanctioned-suicide.net/threads/californians-sept-24.177448/,134,2,"Sep 2, 2024",['none']
Checkmate,https://sanctioned-suicide.net/threads/checkmate.177848/,192,9,Thursday at 9:38 PM,['Venting']
Back to wanting to die again,https://sanctioned-suicide.net/threads/back-to-wanting-to-die-again.177880/,66,0,Friday at 12:26 PM,['Venting']
Nitrogen 2.8 vs Nitrogen 5.0 gastank,https://sanctioned-suicide.net/threads/nitrogen-2-8-vs-nitrogen-5-0-gastank.174933/,311,9,"Aug 10, 2024",['none']
I have to say it at Loud,https://sanctioned-suicide.net/threads/i-have-to-say-it-at-loud.177055/,204,6,"Aug 30, 2024",['none']
Were you ever happy for a prolonged period of time? Poll,https://sanctioned-suicide.net/threads/were-you-ever-happy-for-a-prolonged-period-of-time-poll.177860/,253,15,Friday at 3:21 AM,['Discussion']
do I rlly wanna die or disappear?,https://sanctioned-suicide.net/threads/do-i-rlly-wanna-die-or-disappear.176938/,350,12,"Aug 29, 2024",['Venting']
LA freeway overpass jumper kills grandma,https://sanctioned-suicide.net/threads/la-freeway-overpass-jumper-kills-grandma.177276/,344,10,"Sep 1, 2024",['Method']
What are you supposed to do before you die?,https://sanctioned-suicide.net/threads/what-are-you-supposed-to-do-before-you-die.175856/,273,5,"Aug 18, 2024",['none']
