Title,Link,Views,Replies,Date,Labels
Is this weird method realistic or delusional?,https://sanctioned-suicide.net/threads/is-this-weird-method-realistic-or-delusional.178392/,135,6,"Sep 10, 2024 at 6:18 PM",['Method']
Automatic saw on my neck?,https://sanctioned-suicide.net/threads/automatic-saw-on-my-neck.178408/,5,0,9 minutes ago,['Method']
Changing SN label with DMC,https://sanctioned-suicide.net/threads/changing-sn-label-with-dmc.172549/,486,14,"Jul 19, 2024",['Help']
SN Experience and Medical Records,https://sanctioned-suicide.net/threads/sn-experience-and-medical-records.169984/,6K,119,"Jun 26, 2024",['Resource']
DMC source for SN?,https://sanctioned-suicide.net/threads/dmc-source-for-sn.178396/,27,1,"Sep 10, 2024 at 7:52 PM",['none']
SN/DMC info?,https://sanctioned-suicide.net/threads/sn-dmc-info.175854/,617,7,"Aug 18, 2024",['none']
What does DMC means?,https://sanctioned-suicide.net/threads/what-does-dmc-means.176709/,285,4,"Aug 26, 2024",['none']
How to make heart stop at home,https://sanctioned-suicide.net/threads/how-to-make-heart-stop-at-home.178402/,49,3,"Sep 10, 2024 at 8:31 PM",['Help']
If I call a suicide hotline what type of stuff will they ask me?,https://sanctioned-suicide.net/threads/if-i-call-a-suicide-hotline-what-type-of-stuff-will-they-ask-me.178404/,39,4,52 minutes ago,['none']
"SN, but no antiemetics?",https://sanctioned-suicide.net/threads/sn-but-no-antiemetics.177357/,411,12,"Sep 2, 2024",['Help']
Would you like to die alone or with someone?,https://sanctioned-suicide.net/threads/would-you-like-to-die-alone-or-with-someone.178195/,253,19,"Sep 09, 2024 at 2:14 AM",['none']
Sugar’s Open Diary,https://sanctioned-suicide.net/threads/sugars-open-diary.172981/,2K,57,"Jul 23, 2024",['Venting']
Casualty of Psychiatry,https://sanctioned-suicide.net/threads/casualty-of-psychiatry.178403/,22,0,"Sep 10, 2024 at 8:33 PM",['none']
Do NOT ship SN into Australia,https://sanctioned-suicide.net/threads/do-not-ship-sn-into-australia.178345/,292,10,"Sep 10, 2024 at 4:44 AM",['none']
Anyone know anything about Hydrogen Sulfide ?,https://sanctioned-suicide.net/threads/anyone-know-anything-about-hydrogen-sulfide.178401/,24,0,"Sep 10, 2024 at 8:21 PM",['none']
SN in London,https://sanctioned-suicide.net/threads/sn-in-london.178400/,17,0,"Sep 10, 2024 at 8:16 PM",['none']
I miss her so much still. My SN cant come quick enough,https://sanctioned-suicide.net/threads/i-miss-her-so-much-still-my-sn-cant-come-quick-enough.178399/,35,1,"Sep 10, 2024 at 8:10 PM",['Venting']
DMC shipping question,https://sanctioned-suicide.net/threads/dmc-shipping-question.174699/,617,10,"Aug 8, 2024",['none']
