Title,Link,Views,Replies,Date,Labels
Marriage before CTB,https://sanctioned-suicide.net/threads/marriage-before-ctb.171402/,296,8,"Jul 8, 2024",['none']
How much does a 9mm gun in the mouth mess up the appearance of your face?,https://sanctioned-suicide.net/threads/how-much-does-a-9mm-gun-in-the-mouth-mess-up-the-appearance-of-your-face.172428/,162,1,Wednesday at 8:43 PM,['NSFW']
Me living with overprotective asian parents is so annoying,https://sanctioned-suicide.net/threads/me-living-with-overprotective-asian-parents-is-so-annoying.172252/,441,17,Tuesday at 9:48 AM,['Venting']
A genuine question for discussion,https://sanctioned-suicide.net/threads/a-genuine-question-for-discussion.172414/,183,5,Wednesday at 5:52 PM,['Help']
PSSD is one of the cruelest thing on earth,https://sanctioned-suicide.net/threads/pssd-is-one-of-the-cruelest-thing-on-earth.144465/,930,18,"Dec 9, 2023",['none']
Why is it never me?,https://sanctioned-suicide.net/threads/why-is-it-never-me.169431/,554,18,"Jun 21, 2024",['none']
Who here with a parent who had CTB?,https://sanctioned-suicide.net/threads/who-here-with-a-parent-who-had-ctb.172363/,157,4,Wednesday at 10:33 AM,['Discussion']
Anyone else just feels like a punch bag for life?,https://sanctioned-suicide.net/threads/anyone-else-just-feels-like-a-punch-bag-for-life.172357/,121,3,Wednesday at 8:43 AM,['Venting']
ANTIEMETIC Guide,https://sanctioned-suicide.net/threads/antiemetic-guide.157813/,961,9,"Mar 27, 2024",['none']
How to change Halatal to another container ?,https://sanctioned-suicide.net/threads/how-to-change-halatal-to-another-container.171493/,152,4,"Jul 9, 2024",['none']
"For those of you who believe there is no divine judgment, why do we live in this hell with serial killers, narcissists, torturers?",https://sanctioned-suicide.net/threads/for-those-of-you-who-believe-there-is-no-divine-judgment-why-do-we-live-in-this-hell-with-serial-killers-narcissists-torturers.172413/,144,5,Wednesday at 5:45 PM,['none']
Drugs that will reduce the fear that comes with CTB via jumping?,https://sanctioned-suicide.net/threads/drugs-that-will-reduce-the-fear-that-comes-with-ctb-via-jumping.172186/,170,3,"Jul 15, 2024",['none']
Anyone from the west coast US,https://sanctioned-suicide.net/threads/anyone-from-the-west-coast-us.170435/,268,15,"Jun 30, 2024",['none']
Suicide video,https://sanctioned-suicide.net/threads/suicide-video.172376/,377,6,Wednesday at 12:38 PM,['none']
I got 30 fentanyl pills,https://sanctioned-suicide.net/threads/i-got-30-fentanyl-pills.172218/,532,13,"Jul 15, 2024",['none']
Does sleep deprivation make you dumber?,https://sanctioned-suicide.net/threads/does-sleep-deprivation-make-you-dumber.170292/,332,19,"Jun 29, 2024",['none']
Prochlorperazine DOSING as AE,https://sanctioned-suicide.net/threads/prochlorperazine-dosing-as-ae.172427/,49,0,Wednesday at 8:06 PM,['Help']
I wish I was never born or I died in a car accident long ago,https://sanctioned-suicide.net/threads/i-wish-i-was-never-born-or-i-died-in-a-car-accident-long-ago.172426/,73,1,Wednesday at 7:57 PM,['none']
i think i'm going to ctb tomorrow,https://sanctioned-suicide.net/threads/i-think-im-going-to-ctb-tomorrow.172316/,254,9,Tuesday at 9:00 PM,['Venting']
A good (Dutch) sn source?,https://sanctioned-suicide.net/threads/a-good-dutch-sn-source.172383/,71,1,Wednesday at 1:27 PM,['Help']
Pull Up bar as anchor point / partial hanging,https://sanctioned-suicide.net/threads/pull-up-bar-as-anchor-point-partial-hanging.170003/,326,7,"Jun 26, 2024",['none']
How to find tall buildings (US),https://sanctioned-suicide.net/threads/how-to-find-tall-buildings-us.172421/,62,0,Wednesday at 7:02 PM,['none']
