Title,Link,Views,Replies,Date,Labels
either coming out as trans finally or suicide,https://sanctioned-suicide.net/threads/either-coming-out-as-trans-finally-or-suicide.179808/,7,1,"Sep 23, 2024 at 6:03 PM",['none']
Fantasizing about after my death,https://sanctioned-suicide.net/threads/fantasizing-about-after-my-death.179018/,298,9,"Sep 16, 2024",['Venting']
Do you ever feel like you don't have good/enough reasons to commit suicide?,https://sanctioned-suicide.net/threads/do-you-ever-feel-like-you-dont-have-good-enough-reasons-to-commit-suicide.179646/,367,26,"Sep 22, 2024 at 2:13 PM",['Help']
"i will ctb with SN in about an hour, gonna document my experience here",https://sanctioned-suicide.net/threads/i-will-ctb-with-sn-in-about-an-hour-gonna-document-my-experience-here.179799/,1K,51,"Sep 23, 2024 at 4:57 PM",['none']
How do non-suicidal people feel?,https://sanctioned-suicide.net/threads/how-do-non-suicidal-people-feel.178940/,192,4,"Sep 15, 2024",['Venting']
Just Flipped Somebody Off In The Car,https://sanctioned-suicide.net/threads/just-flipped-somebody-off-in-the-car.179814/,95,7,"Sep 23, 2024 at 6:35 PM",['none']
Buying N in Peru - Personal experience (August 2024),https://sanctioned-suicide.net/threads/buying-n-in-peru-personal-experience-august-2024.173956/,2K,38,"Jul 31, 2024",['Discussion']
Do you believe that suicide means going to heaven or hell?,https://sanctioned-suicide.net/threads/do-you-believe-that-suicide-means-going-to-heaven-or-hell.179811/,122,9,"Sep 23, 2024 at 6:13 PM",['none']
"I’m going to target mid-October, want a way to be useful to you (SN)",https://sanctioned-suicide.net/threads/im-going-to-target-mid-october-want-a-way-to-be-useful-to-you-sn.179821/,44,1,43 minutes ago,['none']
SN Interaction with Milk of Magnesia,https://sanctioned-suicide.net/threads/sn-interaction-with-milk-of-magnesia.179816/,30,1,"Sep 23, 2024 at 7:10 PM",['Help']
Took 7mg of Clonazepam(Benzo) for my SN prep as an experiment,https://sanctioned-suicide.net/threads/took-7mg-of-clonazepam-benzo-for-my-sn-prep-as-an-experiment.179611/,276,11,"Sep 22, 2024 at 10:16 AM",['none']
Anyone else on here 50+ ?,https://sanctioned-suicide.net/threads/anyone-else-on-here-50.177204/,2K,76,"Aug 31, 2024",['none']
There's got to be an easier way to CTB,https://sanctioned-suicide.net/threads/theres-got-to-be-an-easier-way-to-ctb.179572/,494,17,Saturday at 8:22 PM,['none']
I'm going to shoot myself in the head,https://sanctioned-suicide.net/threads/im-going-to-shoot-myself-in-the-head.179499/,648,18,Saturday at 3:06 AM,['Method']
Is unattainable self-actualization a valid reason to ctb?,https://sanctioned-suicide.net/threads/is-unattainable-self-actualization-a-valid-reason-to-ctb.179820/,22,0,47 minutes ago,['none']
So close,https://sanctioned-suicide.net/threads/so-close.179511/,469,17,Saturday at 9:09 AM,['Venting']
Last steps (and days) before CTB (CO),https://sanctioned-suicide.net/threads/last-steps-and-days-before-ctb-co.179461/,254,6,Friday at 2:53 PM,['none']
How can I buy a gun in Brazil?,https://sanctioned-suicide.net/threads/how-can-i-buy-a-gun-in-brazil.179819/,17,0,55 minutes ago,['none']
Time travel,https://sanctioned-suicide.net/threads/time-travel.179720/,262,15,"Sep 23, 2024 at 2:46 AM",['Venting']
only staying for others,https://sanctioned-suicide.net/threads/only-staying-for-others.179815/,46,1,"Sep 23, 2024 at 6:55 PM",['Venting']
Thoughts and anxiety,https://sanctioned-suicide.net/threads/thoughts-and-anxiety.178743/,75,1,"Sep 13, 2024",['Venting']
Metoclopramide Protocol,https://sanctioned-suicide.net/threads/metoclopramide-protocol.178877/,182,4,"Sep 14, 2024",['none']
What's latest SN method?,https://sanctioned-suicide.net/threads/whats-latest-sn-method.179220/,203,2,Wednesday at 7:42 AM,['Method']
Hoping this sn source is legit,https://sanctioned-suicide.net/threads/hoping-this-sn-source-is-legit.174328/,359,5,"Aug 4, 2024",['none']
Anyone else not care if its painful anymore?,https://sanctioned-suicide.net/threads/anyone-else-not-care-if-its-painful-anymore.179660/,191,9,"Sep 22, 2024 at 3:40 PM",['none']
"Mark a spot for every response that people say when you tell them you're suicidal, but never helps.",https://sanctioned-suicide.net/threads/mark-a-spot-for-every-response-that-people-say-when-you-tell-them-youre-suicidal-but-never-helps.179727/,156,5,"Sep 23, 2024 at 4:52 AM",['none']
I Want to CTB But I Have To Wait 6 months,https://sanctioned-suicide.net/threads/i-want-to-ctb-but-i-have-to-wait-6-months.179171/,564,22,Tuesday at 6:05 PM,['none']
Hanging,https://sanctioned-suicide.net/threads/hanging.179337/,268,6,Thursday at 10:53 AM,['none']
Planning to livestream ctb,https://sanctioned-suicide.net/threads/planning-to-livestream-ctb.179804/,95,2,"Sep 23, 2024 at 5:39 PM",['none']
"What if I only take SN, will that affect the results? Please someone help me, thank you!",https://sanctioned-suicide.net/threads/what-if-i-only-take-sn-will-that-affect-the-results-please-someone-help-me-thank-you.179810/,40,0,"Sep 23, 2024 at 6:13 PM",['Help']
"when people say: "" you need to keep on living""",https://sanctioned-suicide.net/threads/when-people-say-you-need-to-keep-on-living.179809/,34,0,"Sep 23, 2024 at 6:07 PM",['Venting']
Why are small amounts of sn dangerous if we eat in process meats?,https://sanctioned-suicide.net/threads/why-are-small-amounts-of-sn-dangerous-if-we-eat-in-process-meats.179803/,71,3,"Sep 23, 2024 at 5:35 PM",['Discussion']
SN in Australia -YES YOU CAN GET IT IN 2024,https://sanctioned-suicide.net/threads/sn-in-australia-yes-you-can-get-it-in-2024.179496/,549,22,Saturday at 1:25 AM,['none']
What The Fuck Do I Do He’s So Mad I’m SO DEAD HELP,https://sanctioned-suicide.net/threads/what-the-fuck-do-i-do-hes-so-mad-im-so-dead-help.179638/,121,2,"Sep 22, 2024 at 1:43 PM",['none']
Can anyone else not cry?,https://sanctioned-suicide.net/threads/can-anyone-else-not-cry.179806/,37,1,"Sep 23, 2024 at 5:48 PM",['none']
SN and GERD,https://sanctioned-suicide.net/threads/sn-and-gerd.179765/,124,4,"Sep 23, 2024 at 11:12 AM",['Help']
Advice on not prematurely using sn,https://sanctioned-suicide.net/threads/advice-on-not-prematurely-using-sn.179752/,231,10,"Sep 23, 2024 at 8:52 AM",['none']
BPD is exhausting.,https://sanctioned-suicide.net/threads/bpd-is-exhausting.179798/,60,2,"Sep 23, 2024 at 4:28 PM",['Venting']
Playing video games til you CTB,https://sanctioned-suicide.net/threads/playing-video-games-til-you-ctb.178823/,465,13,"Sep 14, 2024",['Method']
what has made you cry recently,https://sanctioned-suicide.net/threads/what-has-made-you-cry-recently.177339/,1K,64,"Sep 1, 2024",['none']
SN from DMC & Bartovation - low purity?,https://sanctioned-suicide.net/threads/sn-from-dmc-bartovation-low-purity.178680/,2K,63,"Sep 13, 2024",['Help']
please tell me why I can't kill myself,https://sanctioned-suicide.net/threads/please-tell-me-why-i-cant-kill-myself.179682/,135,4,"Sep 22, 2024 at 7:10 PM",['none']
Another cryptic message,https://sanctioned-suicide.net/threads/another-cryptic-message.178917/,875,20,"Sep 15, 2024",['none']
When will my SN arrive?,https://sanctioned-suicide.net/threads/when-will-my-sn-arrive.179756/,156,7,"Sep 23, 2024 at 9:35 AM",['Venting']
Are you a incel?,https://sanctioned-suicide.net/threads/are-you-a-incel.133275/,895,35,"Sep 20, 2023",['Discussion']
probably goodbye,https://sanctioned-suicide.net/threads/probably-goodbye.179777/,208,14,"Sep 23, 2024 at 1:26 PM",['none']
Goodbye - SN,https://sanctioned-suicide.net/threads/goodbye-sn.171980/,9K,99,"Jul 13, 2024",['Method']
Why i want to CTB,https://sanctioned-suicide.net/threads/why-i-want-to-ctb.179741/,126,5,"Sep 23, 2024 at 7:06 AM",['none']
Giving up,https://sanctioned-suicide.net/threads/giving-up.179733/,160,4,"Sep 23, 2024 at 5:22 AM",['Story']
General thread for my vents about wanting to die,https://sanctioned-suicide.net/threads/general-thread-for-my-vents-about-wanting-to-die.172577/,28K,621,"Jul 19, 2024",['Venting']
,https://sanctioned-suicide.net/threads/ctb-in-this-week.179758/,,,,['none']
,https://sanctioned-suicide.net/threads/what-are-your-last-thoughts-going-to-be.177320/,,,,['none']
,https://sanctioned-suicide.net/threads/has-anyone-ever-gotten-arrested-for-possession-of-sn-or-just-welfare-checks.179432/,,,,['']
,https://sanctioned-suicide.net/threads/hanging-help.179559/,,,,['none']
,https://sanctioned-suicide.net/threads/anyone-have-abusive-neglectful-parents.179780/,,,,['none']
,https://sanctioned-suicide.net/threads/swb-method.177598/,,,,['none']
,https://sanctioned-suicide.net/threads/calcium-channel-blockers.179294/,,,,['none']
,https://sanctioned-suicide.net/threads/please-review-my-sn-protocol-benzos-and-antacid-questions.179086/,,,,['']
,https://sanctioned-suicide.net/threads/whats-your-opinion-on-nano2-and-alp.147955/,,,,['']
,https://sanctioned-suicide.net/threads/k-bye.175788/,,,,['none']
,https://sanctioned-suicide.net/threads/what-is-success-if-hope-has-left-you.179565/,,,,['']
,https://sanctioned-suicide.net/threads/love-this-from-my-former-job.179791/,,,,['none']
,https://sanctioned-suicide.net/threads/planning-to-ctb-this-november-needs-advice-between-two-methods.179795/,,,,['']
,https://sanctioned-suicide.net/threads/sn-how-long-still-available-for-germany-and-payment-method-paypal-possible.179797/,,,,['']
,https://sanctioned-suicide.net/threads/planning-to-jump-soon.178887/,,,,['none']
,https://sanctioned-suicide.net/threads/dystopic-methods-of-the-future.179796/,,,,['none']
,https://sanctioned-suicide.net/threads/desperately-need-sn-source-that-delivers-to-uk.179792/,,,,['none']
,https://sanctioned-suicide.net/threads/does-anyone-feel-like-the-sunshine-makes-it-worse.179734/,,,,['']
,https://sanctioned-suicide.net/threads/how-many-of-you-are-socially-anxious.176991/,,,,['none']
,https://sanctioned-suicide.net/threads/sn-protocol.179384/,,,,['']
,https://sanctioned-suicide.net/threads/goodbye.179634/,,,,['none']
,https://sanctioned-suicide.net/threads/rebreather-iii.151907/,,,,['']
,https://sanctioned-suicide.net/threads/vent-box.178541/,,,,['']
,https://sanctioned-suicide.net/threads/the-more-i-try-the-more-i-wanna-kill-myself.179794/,,,,['']
,https://sanctioned-suicide.net/threads/how-to-avoid-upsetting-loved-ones.179293/,,,,['none']
Starvation,https://sanctioned-suicide.net/threads/starvation.134953/,277,6,"Oct 2, 2023",['none']
I miss my childhood,https://sanctioned-suicide.net/threads/i-miss-my-childhood.179793/,40,0,"Sep 23, 2024 at 3:48 PM",['Venting']
